순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
22827,뻐꾸기도 밤에 우는가,정진우,(주)우진필림,,(주)다자인소프트,1981-03-01,개봉영화,장편,한국,0,0,0,0,112241,드라마,연소자관람불가청소년관람불가,독립/예술영화
22828,뻐꾸기둥지위로 날아간 새,밀로스 포만,,한진흥업주식회사,,1977-09-17,개봉영화,장편,미국,0,N/A,0,N/A,270190,드라마,,일반영화
22829,뻘,이 만,이만모션픽쳐,,,1991-10-26,개봉영화,장편,한국,0,0,0,0,21805,드라마,연소자관람불가,일반영화
22830,뼈와 살이 타는 밤,조명화,세경진흥(주),,,1985-06-12,개봉영화,장편,한국,0,0,0,0,11824,드라마,연소자관람불가,일반영화
22831,뽀네뜨,자끄 드와이용,까날 플러스,(주)베어엔터테인먼트,,1997-11-08,개봉영화,장편,프랑스,0,0,0,0,72236,가족,연소자관람가,일반영화
22832,뽀빠이와 토순이의 세계일주,,,,,1981-07-23,개봉영화,장편,한국,0,0,0,0,5823,애니메이션,,일반영화
22833,뽀삐,김지현,엔젤언더그라운드(주),,,2002-11-01,개봉영화,장편,한국,0,N/A,0,N/A,1533,드라마,전체관람가,독립/예술영화
22834,뽀식이와 꼬마특공단,윤덕호,쌍라이트영화사,,,1991-01-03,개봉영화,장편,한국,0,0,0,0,0,드라마,연소자관람가,일반영화
22835,뽕,이두용,태흥영화(주),,,1986-02-08,개봉영화,장편,한국,0,0,0,0,137331,성인물(에로),연소자관람불가,일반영화
22836,뽕 2,이두용,두성영화㈜,,,1988-09-24,개봉영화,장편,한국,0,0,0,0,58156,성인물(에로),연소자관람불가,일반영화
22837,뽕 3,이두용,두성영화㈜,,,1992-10-03,개봉영화,장편,한국,0,0,0,0,10384,성인물(에로),연소자관람불가,일반영화
22838,뽕띠,정인철,(주)한영필림,,,1993-10-20,개봉영화,장편,한국,0,0,0,0,3955,성인물(에로),연소자관람불가,일반영화
22839,뽕밭나그네,김기현,(주)건화상사,,,1991-11-30,개봉영화,장편,한국,0,0,0,0,2622,성인물(에로),연소자관람불가,일반영화
22840,쁘띠 마르땅,드니 바르도,,(주)미로비젼,,2001-09-22,개봉영화,장편,프랑스,0,0,0,0,843,드라마,전체관람가,일반영화
22841,쁘아종,박재호,(주)홍림영상,,,1997-02-22,개봉영화,장편,한국,0,0,0,0,10870,멜로/로맨스,연소자관람불가,일반영화
