감독,제작사,영화형태,국적,전국 스크린수,전국 관객수,장르,등급,영화구분,개봉월
14.937921230404939,14.737144331930635,장편,한국,648,3013523,드라마,청소년관람불가,일반영화,05
14.91567098098708,14.77258996619167,장편,미국,739,3004647,액션,15세이상관람가,일반영화,07
14.423409614661756,13.009092535503331,장편,미국,751,3002669,어드벤처,전체관람가,일반영화,07
13.933320957062854,13.775921289644652,장편,한국,469,3001530,공포(호러),12세이상관람가,일반영화,12
13.176941338502115,13.514452491797305,장편,한국,993,2982022,코미디,12세이상관람가,일반영화,11
13.326388062360248,14.904569357027311,장편,한국,968,2971475,액션,청소년관람불가,일반영화,11
12.119478436987315,12.930928493312202,장편,한국,604,2963449,액션,15세이상관람가,일반영화,11
15.202425485646078,12.707250335183145,장편,한국,585,2945137,드라마,15세이상관람가,일반영화,07
14.585960041140725,13.673920750440725,장편,미국,1262,2938818,액션,12세이상관람가,일반영화,05
14.891160552843298,14.891160552843298,장편,한국,1047,2931897,범죄,청소년관람불가,일반영화,03
14.887550234616683,12.885079827065146,장편,미국,556,2921331,스릴러,15세이상관람가,일반영화,07
14.886139609203145,14.920126999484303,장편,한국,1073,2917213,멜로/로맨스,15세이상관람가,일반영화,10
14.421549524587157,14.879351261414847,장편,한국,472,2897477,코미디,12세이상관람가,일반영화,12
13.326388062360248,14.866607319767562,장편,한국,894,2860786,드라마,15세이상관람가,일반영화,06
12.496059155778418,14.859944341392499,장편,한국,665,2841788,액션,15세이상관람가,일반영화,04
15.193456556267712,13.248778948445192,장편,미국,2218,2836786,액션,12세이상관람가,일반영화,06
14.153867404472582,12.769548672559095,장편,미국,926,2836774,어드벤처,12세이상관람가,일반영화,12
14.852258081155583,14.852258081155583,장편,한국,962,2820029,멜로/로맨스,12세이상관람가,일반영화,08
14.153867404472582,12.769548672559095,장편,미국,1028,2818993,어드벤처,12세이상관람가,일반영화,12
14.849564769748044,14.316364530356296,장편,한국,1203,2812444,드라마,12세이상관람가,일반영화,01
14.423409614661756,14.848358329824707,장편,미국,718,2809053,미스터리,전체관람가,일반영화,12
14.06463883950566,14.847361412208308,장편,한국,1796,2806254,액션,15세이상관람가,일반영화,06
14.845826161323016,13.774938706163994,장편,미국,825,2801949,애니메이션,전체관람가,일반영화,01
14.835726976621451,14.20850008694795,장편,미국,514,2773794,액션,12세이상관람가,일반영화,08
15.196866081094768,14.833070768604832,장편,한국,502,2766436,범죄,청소년관람불가,일반영화,10
14.736690859143646,14.825078131083048,장편,미국,804,2744413,액션,12세이상관람가,일반영화,09
13.882908169246729,15.240149906896237,장편,미국,1218,2735719,액션,12세이상관람가,일반영화,05
14.462898911917515,13.1379893570447,장편,한국,402,2731828,멜로/로맨스,12세이상관람가,일반영화,09
14.410211377062165,14.816842193386453,장편,한국,547,2721903,액션,청소년관람불가,일반영화,11
14.809435797519015,14.797531356816677,장편,미국,691,2718227,범죄,12세이상관람가,일반영화,08
13.509649476003556,12.664956148786715,장편,미국,904,2718158,미스터리,12세이상관람가,일반영화,09
13.93932352922073,15.240149906896237,장편,미국,2143,2715682,액션,12세이상관람가,일반영화,07
14.811258841726323,13.308544929945047,장편,미국,446,2706748,액션,15세이상관람가,일반영화,08
14.809435797519015,13.009092535503331,장편,미국,694,2685508,액션,12세이상관람가,일반영화,04
13.35629578911951,13.775910235865101,장편,한국,1124,2675559,공포(호러),15세이상관람가,일반영화,03
14.195458564935391,14.556778351162146,장편,한국,641,2663170,드라마,12세이상관람가,일반영화,10
14.99345181697798,14.792593427035143,장편,한국,1064,2656694,범죄,15세이상관람가,일반영화,09
13.01400471940948,14.169237482314434,장편,미국,665,2654817,드라마,15세이상관람가,일반영화,11
14.478874358919308,14.763766089031805,장편,한국,764,2625686,코미디,15세이상관람가,일반영화,09
14.898874221676337,14.298018679747795,장편,미국,792,2625572,애니메이션,전체관람가,일반영화,07
14.065223506046742,14.779233198663226,장편,한국,624,2621436,사극,청소년관람불가,일반영화,06
15.489476389363986,15.3755773781237,장편,미국,1739,2614601,액션,12세이상관람가,일반영화,06
14.499049201368308,13.916201249370442,장편,미국,562,2603857,애니메이션,전체관람가,일반영화,05
14.126271132206274,14.771896236123156,장편,한국,1163,2602273,멜로/로맨스,12세이상관람가,일반영화,03
14.204889231418239,13.774938706163994,장편,미국,1091,2601734,애니메이션,전체관람가,일반영화,07
12.222439535881676,13.486346425112298,장편,한국,524,2595625,코미디,12세이상관람가,일반영화,03
13.258059393028724,14.028746366606791,장편,한국,1278,2594028,범죄,청소년관람불가,일반영화,09
13.154136220550962,14.020417149149822,장편,한국,586,2583294,코미디,전체관람가,일반영화,10
13.885210160221142,15.4222413521652,장편,한국,1091,2571491,범죄,15세이상관람가,일반영화,05
13.301172118783015,12.740845094027687,장편,한국,641,2564340,범죄,15세이상관람가,일반영화,12
12.749798088855615,13.464043830879294,장편,미국,1005,2539114,액션,12세이상관람가,일반영화,07
14.314945707534509,14.755566448860673,장편,미국,587,2532306,액션,12세이상관람가,일반영화,06
14.064942944377727,11.794131487214068,장편,한국,1021,2524086,스릴러,15세이상관람가,일반영화,08
14.33160569446521,14.298018679747795,장편,미국,726,2517805,애니메이션,전체관람가,일반영화,08
14.599980915502114,14.738232167348206,장편,한국,1047,2516128,드라마,12세이상관람가,일반영화,02
14.736817885653757,14.736817885653757,장편,한국,1019,2512572,범죄,15세이상관람가,일반영화,02
14.193706373262147,14.720425631688745,장편,한국,466,2471721,멜로/로맨스,15세이상관람가,일반영화,12
14.162297185119193,14.717977783917235,장편,한국,1117,2465678,범죄,12세이상관람가,일반영화,11
14.0439818702356,13.916201249370442,장편,미국,1116,2450023,애니메이션,전체관람가,일반영화,05
14.705544374364038,14.705544374364038,장편,한국,548,2435211,미스터리,15세이상관람가,일반영화,03
13.203502017465787,14.705087636320005,장편,한국,600,2434099,스릴러,청소년관람불가,일반영화,08
15.083870632898496,14.984926655240894,장편,한국,1249,2424330,사극,12세이상관람가,일반영화,02
13.702669980642952,14.201439836446855,장편,한국,935,2420729,드라마,15세이상관람가,일반영화,02
14.423409614661756,13.710705696490471,장편,미국,1601,2414062,판타지,12세이상관람가,일반영화,11
14.69523190680112,14.69523190680112,장편,미국,1315,2410227,액션,15세이상관람가,일반영화,10
14.69357301205821,14.69357301205821,장편,한국,1122,2406232,코미디,15세이상관람가,일반영화,01
15.099761394840652,15.715214899407409,장편,한국,1174,2397792,미스터리,15세이상관람가,일반영화,02
14.68809472226809,14.984926655240894,장편,한국,522,2393086,스릴러,15세이상관람가,일반영화,09
15.240800803272517,14.687625343772181,장편,한국,817,2391963,액션,청소년관람불가,일반영화,10
14.67584704481376,13.358170588992376,장편,한국,537,2363955,코미디,15세이상관람가,일반영화,09
13.863127768318432,14.675403198644654,장편,한국,404,2362906,스릴러,청소년관람불가,일반영화,08
14.195458564935391,14.673822539614578,장편,한국,1176,2359174,드라마,12세이상관람가,일반영화,06
12.75159477770283,14.65953850658382,장편,한국,463,2325715,사극,청소년관람불가,일반영화,11
14.655395294635804,14.655395294635804,장편,한국,547,2316099,코미디,12세이상관람가,일반영화,12
14.039220110889541,12.277341290771075,장편,프랑스,682,2308596,액션,청소년관람불가,일반영화,09
13.473760517582827,14.650369083925845,장편,한국,577,2304487,스릴러,청소년관람불가,일반영화,05
14.736690859143646,14.648303587204245,장편,미국,1090,2299732,액션,12세이상관람가,일반영화,01
14.14845342174426,13.178610490025342,장편,미국,2297,2292415,액션,12세이상관람가,일반영화,05
12.822036387000233,14.64193960001844,장편,미국,750,2285143,뮤지컬,12세이상관람가,일반영화,08
14.153867404472582,12.769548672559095,장편,미국,811,2282744,어드벤처,12세이상관람가,일반영화,12
13.359494821090752,14.640646942587036,장편,미국,501,2282191,액션,15세이상관람가,일반영화,06
14.634860781770914,14.298018679747795,장편,미국,1394,2269024,애니메이션,전체관람가,일반영화,07
13.13631425126062,12.769548672559095,장편,미국,553,2262758,공포(호러),15세이상관람가,일반영화,09
13.008885773782472,13.916201249370442,장편,미국,561,2261356,애니메이션,전체관람가,일반영화,07
12.141213910320616,14.797531356816677,장편,미국,330,2258369,액션,12세이상관람가,일반영화,10
13.427466679239691,14.77258996619167,장편,미국,1709,2256913,액션,12세이상관람가,일반영화,03
14.781866174368112,14.087276261953994,장편,한국,462,2237271,공포(호러),청소년관람불가,일반영화,04
14.405086633534141,15.263749532761022,장편,한국,812,2232179,SF,15세이상관람가,일반영화,08
13.067409186785948,14.616467651956603,장편,한국,1429,2227671,범죄,청소년관람불가,일반영화,09
13.187344148259736,14.604559107178337,장편,미국,518,2201300,액션,15세이상관람가,일반영화,11
14.603535552144482,14.603535552144482,장편,한국,345,2199048,애니메이션,전체관람가,일반영화,07
14.405086633534141,14.602004173260891,장편,한국,1603,2195683,코미디,12세이상관람가,일반영화,08
14.600436234723727,13.189165130559362,장편,한국,776,2192243,스릴러,15세이상관람가,일반영화,05
13.966063969167317,14.600403847293423,장편,한국,841,2192172,액션,청소년관람불가,일반영화,01
13.509649476003556,12.997280400402293,장편,미국,401,2182365,판타지,전체관람가,일반영화,03
13.427466679239691,13.464043830879294,장편,미국,998,2182227,SF,12세이상관람가,일반영화,06
15.257366385582197,14.589051307715577,장편,한국,618,2167426,스릴러,청소년관람불가,일반영화,12
14.587841308013445,14.920126999484303,장편,한국,622,2164805,SF,15세이상관람가,일반영화,11
14.51944188878398,14.920126999484303,장편,한국,474,2160265,드라마,12세이상관람가,일반영화,09
10.958845449944015,12.98345103689186,장편,일본,380,2151861,애니메이션,15세이상관람가,일반영화,01
14.579472615816714,14.832670084972982,장편,한국,1246,2146764,범죄,15세이상관람가,일반영화,11
14.271139235821364,14.577541337374466,장편,한국,645,2142622,전쟁,15세이상관람가,일반영화,12
14.575450124050139,14.357420196557761,장편,미국,945,2138146,공포(호러),15세이상관람가,일반영화,05
14.574265219370728,14.556778351162146,장편,한국,629,2135614,멜로/로맨스,15세이상관람가,일반영화,10
14.568648276999355,12.966876562017024,장편,미국,1998,2123652,액션,15세이상관람가,일반영화,10
14.99345181697798,14.567276585412483,장편,한국,297,2120741,스릴러,청소년관람불가,일반영화,11
