영화명,감독,제작사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
핑크퐁 시네마 콘서트 : 우주대탐험,변희선,더핑크퐁컴퍼니(주),2020-01-30,장편,한국,182,118488500.0,15229,28184000.0,3700,애니메이션,전체관람가,일반영화
삽질,김병기,ohmynews,2019-11-14,장편,한국,171,120829530.0,15228,56470760.0,6741,다큐멘터리,12세이상관람가,독립/예술영화
워 위드 그랜파,팀 힐,,2021-02-24,장편,미국,322,125136310.0,15214,50128770.0,6268,코미디,12세이상관람가,독립/예술영화
해수의 아이,와타나베 아유무,,2020-09-30,장편,일본,76,139987850.0,15211,77304740.0,7749,애니메이션,전체관람가,독립/예술영화
토마스와 친구들: 잃어버린 왕관,롭 실베스트리,,2014-11-13,장편,영국,110,110482700.0,15202,21878400.0,2803,애니메이션,전체관람가,일반영화
몬스터 싱어: 매직 인 파리,비보 베르즈롱,,2022-05-26,장편,프랑스,266,128787720.0,15187,16153400.0,1683,애니메이션,전체관람가,독립/예술영화
메리 미,캣 코이로,,2022-03-16,장편,미국,179,99754800.0,15164,64310500.0,10969,멜로/로맨스,12세이상관람가,일반영화
슈퍼 베어,왕 치,,2020-01-15,장편,미국,227,106064760.0,15164,18694400.0,2334,액션,전체관람가,독립/예술영화
캡틴 샤키,허버트 베일란드,,2018-11-22,장편,독일,175,106383150.0,15121,21014200.0,2462,애니메이션,전체관람가,독립/예술영화
호비와 무지개 오아시스 대모험,히라바야시 이사무,,2017-09-07,장편,일본,103,104470000.0,15101,21292000.0,2985,애니메이션,전체관람가,일반영화
램,발디마르 요한손,,2021-12-29,장편,기타,123,140091110.0,15095,82947670.0,8579,공포(호러),15세이상관람가,독립/예술영화
런어웨이즈,플로리아 시지스몬디,리버 로드 엔터테인먼트,2010-06-24,장편,미국,76,111779483.0,15088,51140000.0,6708,드라마,청소년관람불가,독립/예술영화
뷰티풀 라이,필리프 팔라도,,2015-03-26,장편,미국,91,112466200.0,15050,60091500.0,7900,드라마,12세이상관람가,독립/예술영화
